N,Rho,Verteilung_X,Parameter,Avg_Skewness,Bias_OLS,Bias_ICA,RMSE_OLS,RMSE_ICA
100,0.4,lognormal,"{'mean': 0.0, 'sigma': 0.25}",0.1048,1.7498,0.805,1.7545,32.2222
100,0.4,t,{'df': 3},-0.0473,0.1527,0.0116,0.1704,11.2034
100,0.4,t,{'df': 4},-0.0486,0.1937,0.0374,0.2107,20.2301
100,0.4,t,{'df': 5},-0.0252,0.2246,0.0612,0.24,3.8543
100,0.4,t,{'df': 6},-0.0061,0.2469,0.072,0.2613,13.4066
100,0.5,beta,"{'a': 0.5, 'b': 0.5}",-0.0029,1.3288,0.0068,1.3313,1.4703
100,0.5,beta,"{'a': 1.0, 'b': 1.0}",-0.0227,1.4977,0.0925,1.4994,3.7745
100,0.5,beta,"{'a': 2.0, 'b': 2.0}",-0.0135,1.6651,0.6217,1.6666,11.7379
100,0.5,beta,"{'a': 4.0, 'b': 4.0}",-0.0035,1.8019,1.6987,1.8029,19.5358
100,0.5,chisquare,{'df': 2},1.6355,0.1177,-0.0049,0.1312,0.289
100,0.5,chisquare,{'df': 8},0.9162,0.0306,-0.0038,0.0398,1.9352
100,0.5,chisquare,{'df': 14},0.7142,0.0173,0.0028,0.0256,1.5297
100,0.5,chisquare,{'df': 20},0.6029,0.0122,-0.0,0.0201,53.2476
100,0.5,gamma,"{'shape': 1.0, 'scale': 0.5}",0.6331,0.9961,-0.0107,1.0094,2.4614
100,0.5,gamma,"{'shape': 1.0, 'scale': 2.0}",1.6355,0.1177,-0.0049,0.1312,0.2791
100,0.5,gamma,"{'shape': 2.0, 'scale': 4.0}",1.2987,0.0147,-0.0055,0.0236,0.1181
100,0.5,gamma,"{'shape': 4.0, 'scale': 2.0}",0.9162,0.0306,-0.0069,0.0398,1.2257
100,0.5,lognormal,"{'mean': 0.0, 'sigma': 1.0}",2.8645,0.1358,0.0041,0.1565,0.1486
100,0.5,lognormal,"{'mean': 0.0, 'sigma': 0.75}",1.7683,0.3508,0.0111,0.3715,0.4189
100,0.5,lognormal,"{'mean': 0.0, 'sigma': 0.5}",0.6767,0.8276,0.0469,0.8397,20.0966
100,0.5,lognormal,"{'mean': 0.0, 'sigma': 0.25}",0.058,1.5691,0.8859,1.5718,148.0565
100,0.5,t,{'df': 3},-0.045,0.1846,0.0156,0.2005,10.0423
100,0.5,t,{'df': 4},-0.0475,0.2324,0.0332,0.2469,7.0878
100,0.5,t,{'df': 5},-0.0249,0.2673,0.0941,0.28,9.0546
100,0.5,t,{'df': 6},-0.0072,0.292,0.1113,0.3036,23.116
100,0.6,beta,"{'a': 0.5, 'b': 0.5}",-0.0029,1.2345,0.0151,1.2362,0.7609
100,0.6,beta,"{'a': 1.0, 'b': 1.0}",-0.0223,1.3522,0.0678,1.3534,15.3661
100,0.6,beta,"{'a': 2.0, 'b': 2.0}",-0.0145,1.4628,0.5634,1.4637,25.2396
100,0.6,beta,"{'a': 4.0, 'b': 4.0}",-0.0052,1.549,1.4928,1.5496,10.9606
100,0.6,chisquare,{'df': 2},1.573,0.138,-0.0049,0.1501,0.2398
100,0.6,chisquare,{'df': 8},0.9061,0.0365,-0.0032,0.0445,2.7641
100,0.6,chisquare,{'df': 14},0.7096,0.0208,-0.0056,0.0281,2.4808
100,0.6,chisquare,{'df': 20},0.6002,0.0147,0.0063,0.0217,1.4021
100,0.6,gamma,"{'shape': 1.0, 'scale': 0.5}",0.4691,0.9791,-0.0131,0.9879,124.7554
100,0.6,gamma,"{'shape': 1.0, 'scale': 2.0}",1.573,0.138,-0.0092,0.1501,0.2617
100,0.6,gamma,"{'shape': 2.0, 'scale': 4.0}",1.2916,0.0178,-0.0051,0.0257,0.1204
100,0.6,gamma,"{'shape': 4.0, 'scale': 2.0}",0.9061,0.0365,-0.0063,0.0445,9.9987
100,0.6,lognormal,"{'mean': 0.0, 'sigma': 1.0}",2.757,0.1576,0.0075,0.1781,0.1779
100,0.6,lognormal,"{'mean': 0.0, 'sigma': 0.75}",1.5977,0.3891,0.0113,0.4079,0.5849
100,0.6,lognormal,"{'mean': 0.0, 'sigma': 0.5}",0.5293,0.8386,0.0589,0.8475,14.8585
100,0.6,lognormal,"{'mean': 0.0, 'sigma': 0.25}",0.032,1.3996,0.8728,1.4013,11.3221
